Avg_Degree,Lower_Bound_R0,Actual_R0,MPC Direct,MPC Lower Bound,MPC R0,Duration Direct,Duration Lower Bound,Duration R0,Avg Interval Direct,Avg Interval Lower Bound,Avg Interval R0
2.05,2.2499999999999982,2.2809220342858287,65.63310734249391,61.27635200466159,61.283645908645596,0.6030475839943392,0.05848466600582469,0.06278583299717866,28.450385913090425,21.29130060723043,21.279557457030283
3.3,3.4545139303349544,3.667808819884916,95.52637094780819,71.61717674023546,71.93793124107874,0.8804957919928711,0.0789855840121163,0.08580091600015294,28.381691873589116,21.291282840269336,21.234475769039545
4.55,3.688022258657061,4.523079911402821,109.73606499689913,79.23676975013913,81.48208839081524,0.9253605000121752,0.0786999999982072,0.0744364160054829,28.381185335377875,21.291277384056425,21.07048437958084
5.8,4.451673532547426,5.6016453874649565,118.71810333637998,85.12164235904524,88.57397753328718,0.8146668749977835,0.08578799999668263,0.09030095799244009,28.330747547299573,21.291277924620776,21.02991489253057
7.05,4.451673532547426,6.416288838823992,124.3763028043251,88.9620225935015,97.55235735507509,1.0761696659901645,0.08430033299373463,0.07420929199724924,28.36239511621304,21.291277924620776,24.954735277449316
8.3,5.268280237065598,7.551253943458498,128.10840561471107,92.23008089961505,101.39130471105899,1.148504500000854,0.0894824580027489,0.08696091700403485,28.336995119611885,21.29130421741084,24.967462137891424
9.55,6.7174047800168175,8.97638979432913,130.87798779106703,94.8281512857565,101.64069248604261,1.5363701669994043,0.09489408299850766,0.11485245899530128,28.297160792509963,21.29127516446497,20.93404566166439
10.8,7.802799696060434,10.10982159386778,133.09687743847388,97.58615520811603,104.23346206006367,1.4877485839970177,0.09527070900367107,0.1297406669909833,28.271258737302094,21.26695163572833,20.93922302819198
12.05,8.6459112169338,11.170596395505669,134.85613655110689,99.49837932846434,106.42068731985816,1.7346544159954647,0.10512183399987407,0.11819129200011957,28.273528851623325,21.264932936810663,20.940926019978615
13.3,9.500073405180842,12.26161728417186,136.34837596783228,101.63895595707426,109.10265443819974,2.092003375000786,0.10826216700661462,0.12191812500532251,28.257669975780463,21.25296815759187,20.920493675329954
14.55,10.428019616150769,13.286348259248367,137.56134216584468,103.65156271265369,111.32343182908589,2.087166042008903,0.10996937500021886,0.12385470799927134,28.249048393398176,21.23085118530423,20.903855670424946
15.8,11.097178614530485,14.271230136191603,138.6378179709928,104.99796029225361,113.29911159271464,2.9989145830040798,0.1178075420029927,0.13826245900418144,28.259930089315606,21.233922170131297,20.892482680031453
17.05,11.775693936403293,15.26330040981505,139.50697821862073,107.00058418887784,116.62821942657904,3.1467171249969397,0.12816412499523722,0.13536320799903478,28.26248706198465,21.20897199843831,24.997624825192325
18.3,12.842410488859915,16.27529077261407,140.2830770948182,108.5974422214983,117.69295550767947,3.3681928329897346,0.13898958299250808,0.14715037499263417,28.263710245320905,21.19117666228213,20.843008000432352
19.55,14.429760104238646,17.366861212250498,140.89941905841619,111.71241366938845,119.844408277366,3.5004397080047056,0.15424441700452007,0.15286229099729098,28.260378396774257,21.108707708668074,24.969358618593965
20.8,15.057432185477836,18.353338083219942,141.46835587040195,113.38993991675554,122.63800316254489,3.258513833003235,0.14442470800713636,0.1496693750086706,28.267196636306842,21.089949169073588,24.901185983728197
22.05,15.764007161204605,19.463204250894627,141.948364945243,113.91180048841765,123.66801624821251,3.6553453329979675,0.1511219169915421,0.15499804200953804,28.273426968051957,21.107122944552568,24.90199509156209
23.3,16.712100618063488,20.482319756809478,142.3911876713366,115.30030708147562,125.03632397921197,4.160057250002865,0.16746729200531263,0.16838541699689813,28.277340362764797,21.089367409947595,24.8847435912713
24.55,17.487503406389596,21.55068399795756,142.77851470511627,116.2684258155876,126.41368454805438,4.902801541000372,0.17108116700546816,0.17526225000619888,28.27585036157536,21.08566763754016,24.862451289101777
25.8,19.009758492908027,22.581014743834103,143.1416171236616,118.52409331245238,127.27669478736864,4.841840207998757,0.16691854200325906,0.1763832500000717,28.271265175277946,21.0336149307818,24.8614007816578
27.05,19.6422346067586,23.598052733923108,143.47135619720785,119.42605597983018,128.84369824124468,4.70160295801179,0.17329599999357015,0.17345500001101755,28.265962641153877,21.0301792509826,24.823852493877208
28.3,20.845618876820467,24.558160295320178,143.77488599628995,121.90786457833558,130.7042436555671,5.119559541999479,0.17241395800374448,0.1774789590126602,28.277589303455766,20.972494634180446,24.770525511277462
29.55,22.2343185260966,25.56037787605931,144.0432175073157,124.7986327340644,132.45050048721845,4.995868333004182,0.19357145798858255,0.18427712499396876,28.2731529445677,20.899380269371658,24.71399062669436
30.8,23.538592881495155,26.72249775934361,144.2803404402868,125.36645438542105,132.22735535425886,5.30672483399394,0.19020591699518263,0.19524862499383744,28.27434115068253,20.899424068486713,24.754301575964625
32.05,24.654206469767978,27.776208796303987,144.50475318849794,126.39405088924177,132.80420697331738,5.909008082991932,0.20501441600208636,0.20600970801024232,28.2716325606035,20.885086840213244,24.75324952188878
33.3,26.023150199295824,28.89059479584902,144.71575682147994,127.43936294987725,132.9839642031453,5.517779499990866,0.2043335000053048,0.19241175000206567,28.2663284584822,20.86791952310861,24.770625390369766
34.55,27.187432083894834,29.896136810410997,144.91156302920788,128.80915798467558,133.7944121450181,6.050264833000256,0.20307583299290854,0.20547608299239073,28.266954233497515,20.84004176571143,24.754866674431153
35.8,28.341648032433355,30.90173323736724,145.1002249715845,130.3290860117303,134.85207977746467,6.2365480000007665,0.1830768329964485,0.20022908299870323,28.27351076876991,24.962538234695014,24.721939240329313
37.05,30.278967946658227,31.986701893498765,145.268126251443,132.02306050350998,134.87881249922197,6.592082916991785,0.18155575000855606,0.18987887499679346,28.270963846394224,24.90131292916991,24.745389387958166
38.3,31.402051557228177,32.94260259050553,145.43618134061668,133.61100993105168,136.07452015016457,6.215936333013815,0.1746614169969689,0.1759275000076741,28.27367783010392,24.844410655592732,24.70061428921695
39.0,33.55942931065111,33.559429310651225,145.54345063137015,136.19354207207576,136.19352825838268,6.822120249998989,0.17611720800050534,0.1640714169916464,28.274456095364727,24.7076458199848,24.70764988494947
