Avg_Degree,Lower_Bound_R0,Actual_R0,Difference 1,Difference 2,Difference 3,Duration Direct,Duration Lower Bound,Duration R0
13.3,9.784257075567098,12.13130465460969,33.70278751246889,6.970948167768242,26.731839344700646,2.584026125012315,0.11368916700303089,0.1349570829916047
14.55,10.681633198551005,13.199634199444796,32.744287955118324,7.615290464657619,25.128997490460705,2.569467541994527,0.11529404101020191,0.14419604100112338
15.8,11.595985195427643,14.287487818562052,31.33234111479115,8.383191381814413,22.949149732976736,2.9146837090083864,0.12852012499934062,0.13271841600362677
17.05,12.853944400838431,15.460469580201195,30.469964369883016,7.563635403007893,22.906328966875122,3.4624182090046816,0.13737991599191446,0.16365004201361444
18.3,13.456703989895924,16.43069862073385,30.376526451848264,8.245703948019766,22.130822503828497,3.567283500000485,0.1384639580064686,0.1378131669916911
19.55,14.839328157254787,17.477540278923517,28.525755283464235,7.314681656860259,21.211073626603977,3.9202719170134515,0.14664754099794663,0.14448599999013823
20.8,15.538713382167952,18.489360360468357,27.39745532350247,8.239642959158672,19.157812364343798,3.7213890419952804,0.15010400000028312,0.15715924999676645
22.05,16.286089122973685,19.472804399030192,26.5293486300655,8.793303929214332,17.736044700851167,3.47187695800676,0.1523431669920683,0.16114500000549015
23.3,16.818268819290264,20.450829231459792,26.220672507980154,9.760618203363165,16.46005430461699,3.768653166000149,0.15162637500907294,0.16065054100181442
24.55,18.080717803068474,21.537866533331556,25.058375885928655,8.884436478253946,16.17393940767471,4.738438125001267,0.15273766599420924,0.15929004100325983
25.8,19.71537310891422,22.647557483204338,23.00939368238639,7.283328460785498,15.72606522160089,4.011845708999317,0.15468199999304488,0.1573547919979319
27.05,20.51352657438728,23.54772879331078,21.95130097080815,7.420872652032415,14.530428318775733,4.3603368749900255,0.1570946670108242,0.1627160409989301
28.3,21.51643068906627,24.67420899900019,21.809164903353192,7.262467244653763,14.54669765869943,5.003281915996922,0.16383366601075977,0.16806224999891128
29.55,22.626177164773065,25.7241551523149,20.586872958191734,6.897381591453993,13.689491366737741,5.779946958995424,0.17736516600416508,0.17673079199448694
30.8,23.877386904928386,26.582243019669516,18.32934921053169,5.895468728221601,12.433880482310087,4.754988792003132,0.17801358299038839,0.17558116700092796
32.05,24.951951438693904,27.72214054883534,17.956420843684455,5.707933359364418,12.248487484320037,5.470306499992148,0.18479429199942388,0.18471450000652112
33.3,26.68526658211794,28.89546833479944,16.584180115812444,4.225944382322922,12.358235733489522,5.319926459007547,0.189451750004082,0.1891651250043651
34.55,27.6415624439773,30.030851506179317,16.50744393130219,4.343436602716309,12.164007328585882,6.843884500005515,0.1951710409921361,0.19971008300490212
35.8,29.250259871454247,31.02801889335484,14.319187043796035,3.0872915547108164,11.231895489085218,6.377925583001343,0.18662070800201036,0.20038441600627266
37.05,30.44494421989984,32.040300492038696,13.282292234939746,2.651148193181399,10.631144041758347,5.993079084000783,0.17803249999997206,0.1920018329983577
38.3,32.012307790091256,32.94195084559979,11.107959905670583,1.4768776646400568,9.631082241030526,5.821301124989986,0.17334175000723917,0.17471533300704323
39.0,33.55942931065111,33.559429310651225,9.349908559294391,-1.3813693072961541e-05,9.349922372987464,6.710427166995942,0.1663025000016205,0.16052758299338166
2.05,2.2499999999999982,2.2809220342858287,4.356755337832325,0.007293903984006533,4.349461433848319,0.5914720420114463,0.05735904099128675,0.06140866599162109
3.3,3.1293475553669645,3.646217331412641,23.17240439265521,1.0507257897652664,22.121678602889943,0.7074646249966463,0.0695964170008665,0.07088420899526682
4.55,4.063631563026814,4.708757396966152,30.06963028259463,1.5290017426515732,28.540628539943057,0.8480205410014605,0.07834033400285989,0.07695320900529623
5.8,5.445034789495651,6.27367719986603,32.84417401303688,1.7417182110060736,31.102455802030804,1.041987374992459,0.0851935419923393,0.09117587500077207
7.05,6.519037589558425,7.516909353504208,34.55380455999675,2.070559642134242,32.48324491786251,1.0655417079979088,0.09012987501046155,0.09390354099741671
8.3,7.008788754596466,8.416778853079954,35.71712745400164,3.2214736980212564,32.495653755980385,1.358632542003761,0.09314158299821429,0.09765895799500868
9.55,7.788798381424403,9.417897664921448,35.39042120589676,4.034751481936951,31.355669723959807,1.5873673330061138,0.09428854199359193,0.10294645800604485
10.8,8.634886373416787,10.442112784224516,34.8022540361941,4.772415005376146,30.029839030817953,1.5386742080008844,0.09685983299277723,0.1093093750096159
12.05,9.538080138178472,11.707800873800334,34.2293236681914,5.740179531160123,28.489144137031275,2.2388950000022305,0.10635779099538922,0.11897275000228547
